"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Oct-2018","EQ","178.95","179.75","174.00","179.95","174.70","174.70","176.27","468.00","170.30","1,04,69,358","1,84,54,37,771.55","94,673"
"17-Oct-2018","EQ","187.60","187.80","179.10","185.85","180.00","179.95","183.08","468.00","170.30","1,20,04,524","2,19,78,14,676.25","92,322"
"16-Oct-2018","EQ","185.20","187.25","184.55","184.35","185.75","185.85","186.03","468.00","170.30","96,95,745","1,80,36,84,697.35","71,969"
"15-Oct-2018","EQ","186.50","186.50","182.70","183.75","184.40","184.35","184.31","468.00","170.30","1,16,58,409","2,14,87,32,399.80","76,113"
"12-Oct-2018","EQ","185.95","188.40","182.60","182.95","183.90","183.75","185.15","468.00","170.30","1,80,14,894","3,33,53,70,340.80","1,34,325"
"11-Oct-2018","EQ","180.65","187.75","178.00","188.75","182.50","182.95","184.57","468.00","170.30","1,93,23,517","3,56,65,97,372.35","1,57,125"
"10-Oct-2018","EQ","186.00","190.95","185.05","184.35","189.25","188.75","187.99","468.00","170.30","3,56,70,907","6,70,56,14,097.45","2,36,722"
"09-Oct-2018","EQ","205.70","206.00","170.30","212.35","184.55","184.35","184.41","468.00","170.30","14,27,60,251","26,32,61,69,685.15","8,91,690"
"08-Oct-2018","EQ","217.80","218.50","208.10","216.25","213.00","212.35","213.94","468.00","208.10","1,18,54,170","2,53,61,34,500.85","1,17,087"
"05-Oct-2018","EQ","222.75","226.45","214.75","223.25","215.70","216.25","220.81","468.00","214.75","1,04,71,026","2,31,21,41,999.30","1,09,560"
"04-Oct-2018","EQ","224.00","230.80","221.75","227.60","223.05","223.25","225.61","468.00","219.50","1,38,98,979","3,13,57,47,885.60","94,369"
"03-Oct-2018","EQ","230.00","232.80","225.80","229.35","227.30","227.60","229.17","468.00","219.50","90,94,685","2,08,42,03,952.80","79,793"
"01-Oct-2018","EQ","225.00","230.45","220.00","223.70","229.70","229.35","225.40","468.00","219.50","97,43,094","2,19,60,97,865.10","75,151"
"28-Sep-2018","EQ","227.90","230.70","219.50","225.25","224.00","223.70","225.65","468.00","219.50","1,41,96,824","3,20,34,91,074.10","1,24,193"
"27-Sep-2018","EQ","234.80","236.55","223.10","233.35","226.85","225.25","228.36","468.00","223.10","1,74,30,781","3,98,05,46,037.10","1,24,772"
"26-Sep-2018","EQ","242.30","243.20","229.55","240.80","233.35","233.35","233.88","468.00","228.85","1,78,10,869","4,16,56,11,347.75","1,45,381"
"25-Sep-2018","EQ","241.00","243.50","235.45","240.20","241.10","240.80","239.95","468.00","228.85","90,30,367","2,16,68,39,776.70","79,738"
"24-Sep-2018","EQ","250.20","251.00","239.35","250.35","241.20","240.20","244.40","468.00","228.85","88,89,259","2,17,25,73,032.25","80,075"
"21-Sep-2018","EQ","255.05","257.70","228.85","252.60","250.20","250.35","249.89","468.00","228.85","1,85,47,453","4,63,48,99,783.95","1,29,476"
"19-Sep-2018","EQ","253.55","255.00","251.00","251.50","252.75","252.60","253.10","468.00","243.10","78,45,650","1,98,57,67,806.60","76,689"
"18-Sep-2018","EQ","257.75","259.80","250.60","260.25","251.25","251.50","255.40","468.00","243.10","1,15,54,420","2,95,10,44,778.45","1,03,016"
"17-Sep-2018","EQ","263.35","264.10","259.65","266.60","259.85","260.25","262.12","468.00","243.10","94,61,420","2,48,00,74,282.95","98,336"
"14-Sep-2018","EQ","265.00","269.60","263.40","262.40","266.10","266.60","266.66","468.00","243.10","1,07,10,620","2,85,60,89,710.65","78,605"
"12-Sep-2018","EQ","268.20","268.20","258.85","267.30","261.75","262.40","262.05","468.00","243.10","1,44,56,273","3,78,82,95,435.45","1,10,943"
"11-Sep-2018","EQ","277.25","278.85","265.70","275.70","266.75","267.30","272.84","468.00","243.10","1,34,44,031","3,66,81,14,438.20","99,917"
"10-Sep-2018","EQ","276.00","282.00","271.75","277.40","274.40","275.70","277.42","468.00","243.10","2,13,22,969","5,91,53,44,895.40","1,56,900"
"07-Sep-2018","EQ","269.55","279.90","269.25","269.95","277.05","277.40","276.39","468.00","243.10","2,61,89,156","7,23,83,38,281.25","1,89,486"
"06-Sep-2018","EQ","269.70","272.00","263.85","266.50","268.65","269.95","268.39","468.00","243.10","1,47,36,214","3,95,51,12,115.35","1,03,471"
"05-Sep-2018","EQ","261.00","271.00","255.40","261.95","268.75","266.50","262.00","468.00","243.10","1,00,84,307","2,64,20,88,211.30","86,534"
"04-Sep-2018","EQ","270.50","270.80","260.35","266.60","261.40","261.95","265.69","468.00","243.10","1,47,75,900","3,92,57,49,320.00","1,17,155"
"03-Sep-2018","EQ","271.40","273.00","265.25","267.50","266.65","266.60","269.20","468.00","243.10","1,45,97,832","3,92,97,42,460.40","1,18,115"
"31-Aug-2018","EQ","259.10","268.25","258.10","259.35","266.95","267.50","264.41","468.00","243.10","1,23,60,078","3,26,81,16,233.80","99,108"
"30-Aug-2018","EQ","262.30","263.00","259.00","261.70","259.90","259.35","260.38","468.00","243.10","63,33,570","1,64,91,37,025.15","46,799"
"29-Aug-2018","EQ","261.05","263.50","261.00","260.00","261.90","261.70","262.36","468.00","243.10","51,17,552","1,34,26,56,977.45","55,817"
"28-Aug-2018","EQ","261.70","263.25","259.05","258.80","259.80","260.00","261.14","468.00","243.10","85,06,857","2,22,14,55,469.80","89,370"
"27-Aug-2018","EQ","257.00","259.50","256.50","255.50","259.20","258.80","258.25","468.00","243.10","61,27,707","1,58,24,59,587.70","66,022"
"24-Aug-2018","EQ","257.00","258.65","255.00","256.90","255.15","255.50","256.79","468.00","243.10","87,03,468","2,23,49,91,162.00","71,872"
"23-Aug-2018","EQ","269.20","269.20","256.00","268.80","256.55","256.90","260.16","468.00","243.10","1,86,67,622","4,85,64,78,809.80","2,49,176"
"21-Aug-2018","EQ","271.85","274.70","266.70","270.10","268.50","268.80","271.73","468.00","243.10","1,95,05,584","5,30,01,72,762.70","2,22,999"
"20-Aug-2018","EQ","261.85","271.85","259.20","258.25","270.55","270.10","267.63","468.00","243.10","2,55,76,718","6,84,51,19,619.35","2,40,049"
"17-Aug-2018","EQ","253.70","260.10","253.00","251.30","259.05","258.25","256.76","468.00","243.10","1,61,17,660","4,13,84,34,027.45","93,097"
"16-Aug-2018","EQ","245.80","252.80","245.25","248.80","251.80","251.30","250.19","468.00","243.10","1,41,48,347","3,53,97,34,481.95","72,491"
"14-Aug-2018","EQ","248.60","249.85","247.20","248.70","248.60","248.80","248.55","468.00","243.10","91,71,033","2,27,94,87,010.85","68,640"
"13-Aug-2018","EQ","249.25","249.70","243.10","250.10","249.00","248.70","247.37","468.00","243.10","1,38,77,900","3,43,29,57,569.40","98,989"
"10-Aug-2018","EQ","257.25","258.65","249.55","257.85","250.00","250.10","252.57","468.00","247.30","1,46,06,037","3,68,90,22,002.30","1,11,029"
"09-Aug-2018","EQ","256.65","260.40","255.50","255.15","257.75","257.85","258.39","468.00","247.30","77,77,719","2,00,96,49,692.60","62,645"
"08-Aug-2018","EQ","253.50","258.25","251.85","251.60","255.25","255.15","255.37","468.00","247.30","1,61,25,867","4,11,80,52,351.05","1,06,451"
"07-Aug-2018","EQ","255.20","256.00","250.55","254.05","251.90","251.60","253.14","468.00","247.30","1,44,90,829","3,66,82,50,166.55","1,23,125"
