"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Oct-2017","EQ","433.00","433.10","424.25","433.20","424.35","426.95","428.85","564.00","358.50","13,13,380","56,32,41,467.45","15,612"
"18-Oct-2017","EQ","432.25","437.30","426.60","432.30","432.50","433.20","432.30","564.00","358.50","55,39,785","2,39,48,56,852.35","50,385"
"17-Oct-2017","EQ","435.75","435.75","430.20","437.05","434.00","432.30","432.43","564.00","358.50","51,35,763","2,22,08,54,174.15","50,449"
"16-Oct-2017","EQ","426.30","438.00","425.85","424.80","437.50","437.05","433.40","564.00","358.50","84,76,709","3,67,37,90,482.85","84,794"
"13-Oct-2017","EQ","421.00","429.30","418.90","420.15","425.50","424.80","425.80","571.10","358.50","69,69,434","2,96,75,99,278.55","80,659"
"12-Oct-2017","EQ","415.50","421.80","409.35","415.50","420.00","420.15","415.75","571.10","358.50","54,42,846","2,26,28,85,324.20","68,575"
"11-Oct-2017","EQ","424.90","424.90","414.10","423.60","414.45","415.50","419.53","571.10","358.50","43,20,451","1,81,25,44,104.40","57,500"
"10-Oct-2017","EQ","425.60","428.90","421.40","425.60","423.90","423.60","424.86","571.10","358.50","50,57,869","2,14,88,85,632.15","66,746"
"09-Oct-2017","EQ","424.00","432.10","423.05","424.85","425.20","425.60","427.35","571.10","358.50","44,14,381","1,88,64,82,042.75","52,653"
"06-Oct-2017","EQ","422.00","426.00","416.20","423.30","424.65","424.85","423.20","571.10","358.50","53,08,695","2,24,66,52,246.90","57,527"
"05-Oct-2017","EQ","423.00","425.80","420.10","423.55","424.25","423.30","422.95","571.10","358.50","46,06,192","1,94,82,00,610.75","55,812"
"04-Oct-2017","EQ","417.55","426.00","412.70","416.00","425.80","423.55","419.51","571.10","358.50","76,63,143","3,21,47,55,761.10","90,091"
"03-Oct-2017","EQ","428.00","428.00","415.00","401.50","416.00","416.00","419.25","571.10","358.50","96,96,920","4,06,54,23,532.25","1,19,070"
"29-Sep-2017","EQ","401.40","405.00","397.40","401.40","403.85","401.50","401.02","571.10","358.50","75,20,906","3,01,60,16,012.70","73,616"
