"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Oct-2022","EQ","406.20","406.95","397.30","404.25","398.65","399.05","402.39","536.70","366.20","86,48,435","3,48,00,82,846.90","91,985"
"18-Oct-2022","EQ","401.00","406.70","400.70","396.10","404.55","404.25","403.83","536.70","366.20","1,42,15,544","5,74,06,13,453.25","1,33,571"
"17-Oct-2022","EQ","394.00","398.90","392.50","396.25","397.00","396.10","395.78","536.70","366.20","95,43,556","3,77,71,15,166.75","1,15,112"
"14-Oct-2022","EQ","407.00","409.20","395.30","399.00","396.25","396.25","401.55","536.70","366.20","1,28,75,470","5,17,01,99,321.75","1,35,477"
"13-Oct-2022","EQ","396.55","403.50","394.55","396.55","399.00","399.00","398.20","536.70","366.20","1,25,84,114","5,01,10,16,732.50","1,42,183"
"12-Oct-2022","EQ","394.55","398.20","391.10","393.35","396.75","396.55","394.96","536.70","366.20","1,42,87,344","5,64,29,49,988.45","1,70,299"
"11-Oct-2022","EQ","397.00","399.50","391.30","395.95","391.75","393.35","396.08","536.70","366.20","1,46,41,301","5,79,90,93,652.85","1,87,285"
"10-Oct-2022","EQ","403.40","403.40","393.05","412.15","396.55","395.95","396.05","536.70","366.20","3,29,14,630","13,03,58,76,368.35","3,83,835"
"07-Oct-2022","EQ","413.40","414.00","408.70","414.10","413.00","412.15","411.67","536.70","335.00","1,06,70,854","4,39,28,89,228.65","1,17,622"
"06-Oct-2022","EQ","409.60","417.65","409.50","407.90","413.40","414.10","414.77","536.70","335.00","1,27,71,199","5,29,70,81,398.40","1,59,765"
"04-Oct-2022","EQ","406.00","408.95","402.90","397.65","407.90","407.90","406.50","536.70","335.00","1,27,61,425","5,18,75,41,978.50","1,30,059"
"03-Oct-2022","EQ","405.50","406.55","395.50","404.60","397.50","397.65","400.54","536.70","335.00","2,03,32,430","8,14,39,77,471.50","2,30,313"
"30-Sep-2022","EQ","398.00","408.25","392.50","402.25","405.30","404.60","400.05","536.70","323.15","2,09,51,277","8,38,15,65,821.95","2,16,223"
"29-Sep-2022","EQ","411.00","413.25","399.60","399.10","404.00","402.25","405.29","536.70","323.15","2,07,25,995","8,40,00,20,713.70","1,98,002"
"28-Sep-2022","EQ","394.90","406.60","392.85","398.80","397.50","399.10","401.43","536.70","323.15","1,81,14,880","7,27,18,65,303.55","1,77,675"
"27-Sep-2022","EQ","403.90","404.00","390.35","397.50","399.60","398.80","397.44","536.70","323.15","2,19,32,747","8,71,70,35,642.20","2,49,236"
"26-Sep-2022","EQ","416.00","417.90","393.15","423.10","398.00","397.50","400.45","536.70","323.15","3,32,30,938","13,30,72,09,237.00","5,17,741"
