"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Oct-2016","EQ","552.05","554.90","545.05","554.25","549.90","550.50","549.78","598.40","265.80","42,75,157","2,35,04,01,334.45","62,363"
"18-Oct-2016","EQ","549.20","556.00","549.20","547.55","553.50","554.25","553.27","598.40","265.80","39,65,424","2,19,39,63,391.30","84,356"
"17-Oct-2016","EQ","557.85","557.85","545.90","556.10","547.50","547.55","550.83","598.40","265.80","34,63,154","1,90,76,00,422.60","53,873"
"14-Oct-2016","EQ","546.00","557.45","545.00","544.85","557.00","556.10","551.37","598.40","265.80","58,72,827","3,23,81,11,050.75","72,101"
"13-Oct-2016","EQ","556.90","556.90","537.00","562.05","544.00","544.85","545.30","598.40","265.80","95,10,827","5,18,62,25,239.50","1,30,898"
"10-Oct-2016","EQ","571.10","571.10","560.90","565.70","562.95","562.05","564.90","598.40","265.80","36,73,211","2,07,49,92,065.75","56,992"
"07-Oct-2016","EQ","554.50","567.30","552.60","551.45","565.00","565.70","560.48","598.40","265.80","91,22,002","5,11,27,09,326.90","77,266"
"06-Oct-2016","EQ","563.10","564.20","549.10","559.65","551.75","551.45","556.37","598.40","265.80","42,73,945","2,37,78,91,854.55","63,284"
"05-Oct-2016","EQ","555.30","562.40","549.75","549.95","557.30","559.65","556.65","598.40","265.80","59,29,204","3,30,04,70,090.05","91,060"
"04-Oct-2016","EQ","547.40","552.40","540.65","540.80","552.00","549.95","546.15","598.40","265.80","57,15,454","3,12,15,16,455.90","75,845"
"03-Oct-2016","EQ","539.40","546.00","539.00","534.85","541.50","540.80","542.36","598.40","265.80","45,05,939","2,44,38,40,120.30","78,127"
"30-Sep-2016","EQ","525.60","536.55","521.20","526.30","534.60","534.85","529.78","598.40","265.80","56,59,248","2,99,81,47,253.20","97,841"
"29-Sep-2016","EQ","543.00","546.90","516.65","540.00","525.00","526.30","530.66","598.40","265.80","93,15,794","4,94,35,54,918.55","81,179"
"28-Sep-2016","EQ","533.00","545.40","531.50","531.95","540.40","540.00","539.86","598.40","265.80","66,04,953","3,56,57,34,622.05","81,823"
"27-Sep-2016","EQ","537.70","542.00","530.25","535.30","533.70","531.95","536.02","598.40","265.80","49,12,743","2,63,33,15,595.50","65,711"
"26-Sep-2016","EQ","549.95","549.95","533.75","553.05","535.80","535.30","539.32","598.40","265.80","68,58,574","3,69,89,75,288.05","1,01,239"
"23-Sep-2016","EQ","558.50","558.50","551.20","558.45","554.50","553.05","553.96","598.40","265.80","48,40,360","2,68,13,70,446.85","66,250"
"22-Sep-2016","EQ","561.20","562.95","551.35","549.90","557.40","558.45","557.30","598.40","265.80","60,12,388","3,35,07,29,309.25","94,438"
"21-Sep-2016","EQ","548.60","556.40","544.00","548.45","550.10","549.90","551.51","598.40","265.80","59,19,149","3,26,44,67,417.10","1,00,973"
"20-Sep-2016","EQ","555.00","556.30","545.50","554.45","546.90","548.45","549.23","598.40","265.80","68,74,462","3,77,56,33,922.90","78,787"
"19-Sep-2016","EQ","553.80","556.40","549.45","548.70","553.75","554.45","552.69","598.40","265.80","69,79,269","3,85,73,41,177.95","78,552"
"16-Sep-2016","EQ","562.40","568.20","546.35","557.55","550.60","548.70","552.68","598.40","265.80","1,09,31,845","6,04,18,24,892.00","77,478"
"15-Sep-2016","EQ","562.00","566.25","555.40","560.50","558.50","557.55","559.53","598.40","265.80","52,58,859","2,94,25,07,943.35","55,639"
"14-Sep-2016","EQ","556.25","565.35","544.10","553.45","564.20","560.50","550.47","598.40","265.80","1,23,64,724","6,80,63,79,991.65","1,67,639"
