"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Oct-2015","EQ","384.00","384.00","376.25","386.20","378.85","378.70","379.37","612.40","279.10","74,55,714","2,82,84,39,065.70","87,246"
"16-Oct-2015","EQ","388.60","390.95","380.65","381.30","386.75","386.20","386.00","612.40","279.10","1,64,97,652","6,36,80,44,969.85","1,51,307"
"15-Oct-2015","EQ","355.30","383.75","355.30","352.30","380.00","381.30","374.29","612.40","279.10","1,94,87,376","7,29,39,49,153.40","1,97,463"
"14-Oct-2015","EQ","358.75","360.25","351.10","361.10","353.55","352.30","354.94","612.40","279.10","70,09,418","2,48,79,28,242.25","83,779"
"13-Oct-2015","EQ","360.00","365.25","355.05","362.35","361.50","361.10","359.86","612.40","279.10","99,69,583","3,58,76,78,690.35","1,00,872"
"12-Oct-2015","EQ","356.50","367.00","356.40","356.45","363.85","362.35","363.06","612.40","279.10","1,05,09,775","3,81,56,48,496.10","1,08,852"
"09-Oct-2015","EQ","346.20","359.20","341.10","343.25","358.25","356.45","350.37","612.40","279.10","1,16,35,790","4,07,68,65,694.20","1,34,386"
"08-Oct-2015","EQ","343.80","347.30","341.55","341.35","343.70","343.25","343.86","612.40","279.10","1,20,85,332","4,15,57,18,928.20","1,49,936"
"07-Oct-2015","EQ","333.90","345.00","329.00","333.70","342.80","341.35","340.27","612.40","279.10","1,78,02,539","6,05,76,53,162.85","1,78,106"
"06-Oct-2015","EQ","320.55","334.70","319.55","315.15","333.25","333.70","328.76","612.40","279.10","1,88,06,867","6,18,30,37,486.25","1,85,755"
"05-Oct-2015","EQ","302.50","322.10","302.50","297.75","315.00","315.15","315.82","612.40","279.10","1,45,27,820","4,58,81,43,033.15","1,97,253"
"01-Oct-2015","EQ","301.45","301.50","291.50","298.60","296.30","297.75","295.81","612.40","279.10","75,01,080","2,21,88,89,102.95","1,21,550"
"30-Sep-2015","EQ","289.25","299.75","288.10","288.75","298.00","298.60","295.81","612.40","279.10","1,29,26,187","3,82,37,31,279.30","1,50,933"
"29-Sep-2015","EQ","281.20","294.80","279.10","285.00","288.05","288.75","285.84","612.40","279.10","1,23,04,403","3,51,70,94,968.35","1,67,211"
"28-Sep-2015","EQ","304.40","304.40","283.50","303.40","284.65","285.00","291.97","612.40","283.50","1,35,77,316","3,96,41,05,759.50","1,66,699"
