"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"18-Oct-2019","EQ","139.00","141.80","135.60","139.50","136.60","136.85","137.97","239.35","106.00","6,48,84,113","8,95,23,72,033.35","2,48,963"
"17-Oct-2019","EQ","127.10","144.35","125.10","125.85","142.55","139.50","134.19","239.35","106.00","6,79,33,615","9,11,57,77,154.05","2,19,228"
"16-Oct-2019","EQ","127.30","128.30","124.50","126.95","125.90","125.85","126.33","239.35","106.00","3,15,22,518","3,98,23,36,571.30","1,16,464"
"15-Oct-2019","EQ","127.10","128.90","123.70","127.85","126.55","126.95","126.05","239.35","106.00","5,75,48,920","7,25,39,69,725.15","1,88,137"
"14-Oct-2019","EQ","122.60","130.00","122.50","121.30","127.40","127.85","127.75","239.35","106.00","6,80,48,611","8,69,33,41,103.15","2,26,951"
"11-Oct-2019","EQ","118.05","122.20","117.25","116.80","121.15","121.30","119.71","239.35","106.00","4,10,27,561","4,91,13,21,946.75","1,33,759"
"10-Oct-2019","EQ","119.30","119.70","116.20","120.90","116.80","116.80","117.54","239.35","106.00","3,12,29,192","3,67,07,74,769.45","1,17,692"
"09-Oct-2019","EQ","118.50","121.70","115.45","117.50","120.95","120.90","118.42","239.35","106.00","4,46,66,296","5,28,93,46,768.05","1,57,065"
"07-Oct-2019","EQ","120.25","120.55","116.35","119.65","117.40","117.50","118.59","239.35","106.00","3,54,71,184","4,20,65,14,689.95","1,31,962"
"04-Oct-2019","EQ","122.80","123.80","118.80","122.40","119.05","119.65","121.24","239.35","106.00","3,57,12,218","4,32,97,96,685.55","1,22,515"
"03-Oct-2019","EQ","112.65","123.50","112.65","115.30","122.65","122.40","120.83","239.35","106.00","6,51,03,359","7,86,61,27,647.70","2,34,403"
"01-Oct-2019","EQ","118.00","119.85","113.00","117.45","115.00","115.30","116.91","239.35","106.00","4,02,32,789","4,70,37,98,686.40","1,55,181"
"30-Sep-2019","EQ","120.65","120.85","116.40","119.90","117.45","117.45","118.06","239.35","106.00","3,21,58,885","3,79,65,65,367.10","1,15,046"
"27-Sep-2019","EQ","122.00","122.45","118.20","124.50","120.10","119.90","120.03","251.00","106.00","4,58,75,793","5,50,64,28,000.75","1,88,975"
"26-Sep-2019","EQ","123.90","127.25","122.80","123.05","124.40","124.50","124.80","251.00","106.00","4,58,66,398","5,72,40,27,997.65","1,93,163"
"25-Sep-2019","EQ","129.90","129.90","121.50","130.90","123.15","123.05","124.21","251.00","106.00","4,75,67,575","5,90,85,78,087.55","1,85,967"
"24-Sep-2019","EQ","128.05","132.20","128.00","127.90","131.40","130.90","130.43","251.00","106.00","4,16,59,100","5,43,37,16,718.80","1,73,224"
"23-Sep-2019","EQ","135.00","138.40","126.50","133.25","127.70","127.90","129.85","251.00","106.00","5,10,32,391","6,62,66,52,708.45","2,13,794"
"20-Sep-2019","EQ","125.00","137.75","122.60","124.20","133.15","133.25","131.52","264.10","106.00","8,92,23,235","11,73,41,94,084.40","3,16,158"
"19-Sep-2019","EQ","123.50","125.35","121.20","121.75","124.20","124.20","123.51","264.10","106.00","5,10,11,848","6,30,05,83,631.70","1,90,065"
"18-Sep-2019","EQ","123.05","125.90","120.50","122.00","122.60","121.75","122.50","264.10","106.00","5,30,48,836","6,49,84,11,543.40","1,71,845"
"17-Sep-2019","EQ","129.00","130.50","121.35","128.60","122.20","122.00","125.69","264.10","106.00","4,76,52,658","5,98,96,37,063.65","1,59,534"
"16-Sep-2019","EQ","128.00","130.30","126.50","129.55","128.80","128.60","128.49","264.10","106.00","4,09,51,047","5,26,17,03,155.55","1,38,411"
"13-Sep-2019","EQ","129.20","130.95","125.50","127.95","129.60","129.55","128.31","282.00","106.00","6,90,88,728","8,86,45,43,960.75","2,19,931"
"12-Sep-2019","EQ","134.60","135.35","126.70","134.35","129.25","127.95","130.11","282.00","106.00","7,20,84,195","9,37,92,07,006.75","2,34,911"
"11-Sep-2019","EQ","127.00","135.00","125.30","121.90","134.90","134.35","130.86","282.00","106.00","9,65,68,372","12,63,73,06,239.05","3,39,751"
"09-Sep-2019","EQ","119.00","122.60","117.35","121.25","121.80","121.90","120.38","282.00","106.00","5,12,97,512","6,17,49,85,960.95","1,77,222"
"06-Sep-2019","EQ","118.35","122.30","116.55","118.05","121.25","121.25","119.28","282.00","106.00","6,77,61,586","8,08,24,83,446.95","2,15,641"
"05-Sep-2019","EQ","109.75","119.35","109.50","109.50","118.35","118.05","115.24","282.00","106.00","7,57,89,807","8,73,37,82,896.30","2,49,817"
"04-Sep-2019","EQ","112.00","113.00","106.00","112.65","109.75","109.50","108.57","282.00","106.00","7,63,17,447","8,28,57,80,831.40","2,52,504"
"03-Sep-2019","EQ","113.05","115.35","111.20","116.70","112.00","112.65","113.05","282.00","106.20","3,69,05,736","4,17,20,69,725.25","1,36,732"
"30-Aug-2019","EQ","115.60","117.30","112.00","114.30","116.50","116.70","114.60","282.00","106.20","4,22,50,518","4,84,16,99,042.80","1,60,152"
"29-Aug-2019","EQ","116.50","118.50","112.10","116.35","114.45","114.30","114.85","282.00","106.20","4,80,98,849","5,52,41,97,858.30","1,70,324"
"28-Aug-2019","EQ","120.55","124.00","114.80","120.35","116.70","116.35","119.62","282.00","106.20","7,42,45,952","8,88,10,32,350.90","2,91,912"
"27-Aug-2019","EQ","112.70","121.40","111.80","110.55","120.45","120.35","117.85","282.00","106.20","7,06,36,441","8,32,47,18,739.15","2,81,051"
"26-Aug-2019","EQ","114.55","115.40","106.80","111.05","110.50","110.55","110.45","282.00","106.20","4,77,57,623","5,27,46,90,121.35","1,75,714"
"23-Aug-2019","EQ","108.90","111.60","107.65","107.70","111.50","111.05","109.52","282.00","106.20","4,11,78,606","4,51,00,06,832.35","1,53,440"
"22-Aug-2019","EQ","112.00","114.00","106.20","112.40","108.05","107.70","110.03","282.00","106.20","5,86,12,708","6,44,92,67,360.30","1,88,547"
"21-Aug-2019","EQ","123.00","123.00","109.50","123.85","112.00","112.40","114.84","282.00","109.50","8,35,09,593","9,59,05,96,245.10","2,98,193"
"20-Aug-2019","EQ","120.00","124.80","119.00","120.80","123.80","123.85","122.20","282.00","116.50","3,48,09,225","4,25,38,18,545.85","1,39,469"
"19-Aug-2019","EQ","121.20","122.60","120.00","121.35","121.25","120.80","121.12","282.00","116.50","2,31,94,786","2,80,93,90,829.65","85,169"
"16-Aug-2019","EQ","119.90","122.45","117.35","120.90","120.65","121.35","119.73","282.00","116.50","3,52,64,621","4,22,21,54,127.40","1,44,070"
"14-Aug-2019","EQ","122.70","123.80","118.60","121.95","120.75","120.90","121.03","282.00","116.50","3,01,36,178","3,64,73,12,365.30","1,52,935"
"13-Aug-2019","EQ","123.80","126.30","121.00","122.05","121.65","121.95","123.42","282.00","116.50","3,54,98,118","4,38,12,90,301.55","1,65,227"
"09-Aug-2019","EQ","124.50","126.50","120.70","124.05","122.55","122.05","123.11","282.00","116.50","3,92,45,417","4,83,13,15,607.60","1,78,731"
"08-Aug-2019","EQ","118.00","125.00","116.90","117.40","124.00","124.05","120.72","282.00","116.50","3,58,76,237","4,33,09,27,031.45","1,58,597"
"07-Aug-2019","EQ","122.60","123.85","116.50","122.50","117.20","117.40","120.41","282.00","116.50","3,72,87,779","4,48,97,60,016.50","1,59,615"
"06-Aug-2019","EQ","123.05","126.55","121.75","123.75","122.25","122.50","123.83","282.00","121.75","3,47,90,369","4,30,82,49,566.50","1,54,007"
"05-Aug-2019","EQ","128.00","128.20","122.30","130.70","124.00","123.75","124.57","282.00","122.30","3,54,52,262","4,41,64,30,405.85","1,80,347"
"02-Aug-2019","EQ","128.50","133.20","127.00","129.55","130.15","130.70","130.37","282.00","127.00","4,40,16,138","5,73,85,32,941.55","2,21,995"
"01-Aug-2019","EQ","135.50","136.30","127.55","135.60","129.70","129.55","130.54","282.00","127.55","3,89,91,424","5,09,00,76,867.15","2,07,269"
"31-Jul-2019","EQ","133.50","136.40","132.50","133.45","135.75","135.60","134.39","282.00","129.00","2,70,24,859","3,63,17,99,500.60","1,36,081"
"30-Jul-2019","EQ","138.00","139.70","132.60","137.55","133.70","133.45","136.39","282.00","129.00","3,57,25,524","4,87,26,99,985.15","1,85,991"
"29-Jul-2019","EQ","146.90","146.90","136.85","147.15","137.80","137.55","140.25","282.00","129.00","3,88,44,222","5,44,79,61,495.95","2,01,161"
"26-Jul-2019","EQ","138.10","150.15","138.10","144.30","148.20","147.15","146.00","282.00","129.00","8,39,05,651","12,25,00,45,385.45","3,53,350"
"25-Jul-2019","EQ","151.30","152.50","143.75","151.25","144.00","144.30","147.11","282.00","129.00","3,43,64,032","5,05,53,30,539.30","1,83,196"
"24-Jul-2019","EQ","156.35","157.55","150.50","156.20","151.30","151.25","152.73","282.00","129.00","1,62,92,964","2,48,84,85,598.95","91,056"
"23-Jul-2019","EQ","157.40","159.00","154.80","156.75","156.15","156.20","156.69","282.00","129.00","1,29,42,555","2,02,79,49,339.40","73,078"
"22-Jul-2019","EQ","155.45","159.30","155.25","154.85","156.65","156.75","157.00","282.00","129.00","1,59,95,349","2,51,12,92,785.65","88,371"
"19-Jul-2019","EQ","161.45","162.40","153.85","160.75","155.20","154.85","156.94","282.00","129.00","1,89,54,216","2,97,46,87,238.80","1,05,612"
"18-Jul-2019","EQ","167.25","167.25","160.00","167.90","161.00","160.75","162.83","282.00","129.00","1,90,55,022","3,10,27,27,938.65","1,13,728"
"17-Jul-2019","EQ","170.00","172.35","166.30","170.00","168.05","167.90","168.87","282.00","129.00","2,52,36,730","4,26,16,54,522.35","1,33,019"
